  (n,m) =            9           0
  clat =    4.2539167833891627     
         216
 
 C   3.3058018623320606        1.2032134782706483        3.5449306528243021     
 C   2.6949143695242475        2.2613016535221484        2.8359445222594415     
 C   2.6949143695242475        2.2613016535221480        1.4179722611297207     
 C   1.7589804310516268        3.0466434761008232       0.70898613056486037     
 C   1.7589804310516268        3.0466434761008232        3.5449306528243021     
 C  0.61088749280781296        3.4645151317927967        2.8359445222594415     
 C  0.61088749280781363        3.4645151317927962        1.4179722611297207     
 C -0.61088749280781407        3.4645151317927962       0.70898613056486037     
 C -0.61088749280781407        3.4645151317927962        3.5449306528243021     
 C  -1.7589804310516282        3.0466434761008223        2.8359445222594415     
 C  -1.7589804310516282        3.0466434761008223        1.4179722611297207     
 C  -2.6949143695242470        2.2613016535221488       0.70898613056486037     
 C  -2.6949143695242470        2.2613016535221488        3.5449306528243021     
 C  -3.3058018623320611        1.2032134782706474        2.8359445222594415     
 C  -3.3058018623320606        1.2032134782706487        1.4179722611297207     
 C  -3.5179608621032545        4.3082595093004140E-016  0.70898613056486037     
 C  -3.5179608621032545        4.3082595093004140E-016   3.5449306528243021     
 C  -3.3058018623320606       -1.2032134782706494        2.8359445222594415     
 C  -3.3058018623320611       -1.2032134782706481        1.4179722611297207     
 C  -2.6949143695242488       -2.2613016535221466       0.70898613056486037     
 C  -2.6949143695242488       -2.2613016535221466        3.5449306528243021     
 C  -1.7589804310516259       -3.0466434761008236        2.8359445222594415     
 C  -1.7589804310516288       -3.0466434761008219        1.4179722611297207     
 C -0.61088749280781640       -3.4645151317927958       0.70898613056486037     
 C -0.61088749280781329       -3.4645151317927962        3.5449306528243021     
 C  0.61088749280781207       -3.4645151317927967        2.8359445222594415     
 C  0.61088749280781207       -3.4645151317927967        1.4179722611297207     
 C   1.7589804310516277       -3.0466434761008228       0.70898613056486037     
 C   1.7589804310516277       -3.0466434761008228        3.5449306528243021     
 C   2.6949143695242466       -2.2613016535221493        2.8359445222594415     
 C   2.6949143695242466       -2.2613016535221493        1.4179722611297207     
 C   3.3058018623320611       -1.2032134782706478       0.70898613056486037     
 C   3.3058018623320611       -1.2032134782706478        3.5449306528243021     
 C   3.5179608621032545       -8.6165190186008280E-016   2.8359445222594415     
 C   3.5179608621032545       -8.6165190186008280E-016   1.4179722611297207     
 C   3.3058018623320606        1.2032134782706490       0.70898613056486037     
 C   3.3058018623320606        1.2032134782706483        7.7988474362134648     
 C   2.6949143695242475        2.2613016535221484        7.0898613056486042     
 C   2.6949143695242475        2.2613016535221480        5.6718890445188830     
 C   1.7589804310516268        3.0466434761008232        4.9629029139540233     
 C   1.7589804310516268        3.0466434761008232        7.7988474362134648     
 C  0.61088749280781296        3.4645151317927967        7.0898613056486042     
 C  0.61088749280781363        3.4645151317927962        5.6718890445188830     
 C -0.61088749280781407        3.4645151317927962        4.9629029139540233     
 C -0.61088749280781407        3.4645151317927962        7.7988474362134648     
 C  -1.7589804310516282        3.0466434761008223        7.0898613056486042     
 C  -1.7589804310516282        3.0466434761008223        5.6718890445188830     
 C  -2.6949143695242470        2.2613016535221488        4.9629029139540233     
 C  -2.6949143695242470        2.2613016535221488        7.7988474362134648     
 C  -3.3058018623320611        1.2032134782706474        7.0898613056486042     
 C  -3.3058018623320606        1.2032134782706487        5.6718890445188830     
 C  -3.5179608621032545        4.3082595093004140E-016   4.9629029139540233     
 C  -3.5179608621032545        4.3082595093004140E-016   7.7988474362134648     
 C  -3.3058018623320606       -1.2032134782706494        7.0898613056486042     
 C  -3.3058018623320611       -1.2032134782706481        5.6718890445188830     
 C  -2.6949143695242488       -2.2613016535221466        4.9629029139540233     
 C  -2.6949143695242488       -2.2613016535221466        7.7988474362134648     
 C  -1.7589804310516259       -3.0466434761008236        7.0898613056486042     
