 (n,m)=          15           0
 clat=   4.2539167833891627      ncells=           5
         300
 
 C   5.7351416279028804        1.2190419851176502        3.5449306528243021     
 C   5.3563619428981264        2.3848059858732102        2.8359445222594415     
 C   5.3563619428981264        2.3848059858732094        1.4179722611297207     
 C   4.7434835383124554        3.4463425214773467       0.70898613056486037     
 C   4.7434835383124554        3.4463425214773467        3.5449306528243021     
 C   3.9232921413431354        4.3572573515067115        2.8359445222594415     
 C   3.9232921413431368        4.3572573515067106        1.4179722611297207     
 C   2.9316340517527100        5.0777391268347056       0.70898613056486037     
 C   2.9316340517527100        5.0777391268347056        3.5449306528243021     
 C   1.8118494865597432        5.5762993366243601        2.8359445222594415     
 C   1.8118494865597432        5.5762993366243601        1.4179722611297207     
 C  0.61287840458566956        5.8311485073505560       0.70898613056486037     
 C  0.61287840458566956        5.8311485073505560        3.5449306528243021     
 C -0.61287840458567400        5.8311485073505551        2.8359445222594415     
 C -0.61287840458567133        5.8311485073505551        1.4179722611297207     
 C  -1.8118494865597450        5.5762993366243601       0.70898613056486037     
 C  -1.8118494865597450        5.5762993366243601        3.5449306528243021     
 C  -2.9316340517527149        5.0777391268347021        2.8359445222594415     
 C  -2.9316340517527131        5.0777391268347030        1.4179722611297207     
 C  -3.9232921413431368        4.3572573515067106       0.70898613056486037     
 C  -3.9232921413431368        4.3572573515067106        3.5449306528243021     
 C  -4.7434835383124572        3.4463425214773440        2.8359445222594415     
 C  -4.7434835383124554        3.4463425214773467        1.4179722611297207     
 C  -5.3563619428981273        2.3848059858732085       0.70898613056486037     
 C  -5.3563619428981273        2.3848059858732085        3.5449306528243021     
 C  -5.7351416279028813        1.2190419851176471        2.8359445222594415     
 C  -5.7351416279028813        1.2190419851176471        1.4179722611297207     
 C  -5.8632681035054235       -4.4895849468995279E-015  0.70898613056486037     
 C  -5.8632681035054235       -4.4895849468995279E-015   3.5449306528243021     
 C  -5.7351416279028804       -1.2190419851176508        2.8359445222594415     
 C  -5.7351416279028804       -1.2190419851176508        1.4179722611297207     
 C  -5.3563619428981255       -2.3848059858732116       0.70898613056486037     
 C  -5.3563619428981255       -2.3848059858732116        3.5449306528243021     
 C  -4.7434835383124545       -3.4463425214773471        2.8359445222594415     
 C  -4.7434835383124545       -3.4463425214773471        1.4179722611297207     
 C  -3.9232921413431341       -4.3572573515067123       0.70898613056486037     
 C  -3.9232921413431341       -4.3572573515067123        3.5449306528243021     
 C  -2.9316340517527095       -5.0777391268347056        2.8359445222594415     
 C  -2.9316340517527095       -5.0777391268347056        1.4179722611297207     
 C  -1.8118494865597401       -5.5762993366243609       0.70898613056486037     
 C  -1.8118494865597401       -5.5762993366243609        3.5449306528243021     
 C -0.61287840458567022       -5.8311485073505560        2.8359445222594415     
 C -0.61287840458567022       -5.8311485073505560        1.4179722611297207     
 C  0.61287840458567322       -5.8311485073505551       0.70898613056486037     
 C  0.61287840458567322       -5.8311485073505551        3.5449306528243021     
 C   1.8118494865597430       -5.5762993366243601        2.8359445222594415     
 C   1.8118494865597430       -5.5762993366243601        1.4179722611297207     
 C   2.9316340517527122       -5.0777391268347039       0.70898613056486037     
